Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
archaeology,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.49674242424242426,0.2215686274509804,0.2215686274509804,0.26129870129870125,0.4375,0.4666666666666667,0.4666666666666667,0.45161290322580644,14,14,18,16,49,19602791754,00:00:19
archaeology,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.49674242424242426,0.2215686274509804,0.2215686274509804,0.26129870129870125,0.4375,0.4666666666666667,0.4666666666666667,0.45161290322580644,14,14,18,16,49,-,-
archaeology,2024all,matcha.tar.gz,ALL,0.34133653461384555,0.31232492997198885,0.31232492997198874,0.23404165493948773,0.04395604395604396,0.3333333333333333,0.3333333333333333,0.07766990291262137,8,8,174,16,218,9110091845862,02:31:50
archaeology,2024all,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,matcha.tar.gz,INSTANCES,0.34133653461384555,0.31232492997198885,0.31232492997198885,0.23404165493948773,0.04395604395604396,0.3333333333333333,0.3333333333333333,0.07766990291262137,8,8,174,16,218,-,-
archaeology,2024all,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,17,10,27064669304,00:00:27
archaeology,2024all,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17,0,-,-
archaeology,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.31453962703962707,0.2941176470588235,0.29411764705882354,0.23807359307359305,0.3137254901960784,0.5,0.5,0.3855421686746988,16,16,35,16,81,13155447856,00:00:13
archaeology,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.31453962703962707,0.29411764705882354,0.29411764705882354,0.23807359307359305,0.3137254901960784,0.5,0.5,0.3855421686746988,16,16,35,16,81,-,-
archaeology,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,17,10,3303757129438,00:55:03
archaeology,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,-,-
archaeology,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17,0,-,-
archaeology,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,ALL,0.49674242424242426,0.2215686274509804,0.22156862745098035,0.2612987012987013,0.4375,0.4666666666666667,0.4666666666666667,0.45161290322580644,14,14,18,16,49,12801973969,00:00:12
archaeology,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
archaeology,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.4967424242424242,0.2215686274509804,0.2215686274509804,0.26129870129870125,0.4375,0.4666666666666667,0.4666666666666667,0.45161290322580644,14,14,18,16,49,-,-
